Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Eierstöcke (C56);0 - 44;weiblich;1;715;649;645;685;644;564;574;564;580;532;470;524;471;479;468;469
Eierstöcke (C56);0 - 44;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eierstöcke (C56);45 - 54;weiblich;1;1.032;1.027;1.085;1.039;1.059;966;1.036;1.060;974;1.131;1.019;1.086;992;999;907;852
Eierstöcke (C56);45 - 54;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eierstöcke (C56);55 - 64;weiblich;1;1.627;1.653;1.566;1.494;1.490;1.260;1.366;1.390;1.364;1.409;1.329;1.487;1.437;1.401;1.468;1.530
Eierstöcke (C56);55 - 64;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eierstöcke (C56);65 - 74;weiblich;1;1.978;1.935;1.838;2.087;1.916;2.005;1.861;1.727;1.754;1.653;1.628;1.655;1.432;1.408;1.389;1.290
Eierstöcke (C56);65 - 74;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eierstöcke (C56);75 und älter;weiblich;1;1.630;1.608;1.697;1.576;1.620;1.654;1.563;1.622;1.671;1.533;1.701;1.823;1.732;1.696;1.731;1.736
Eierstöcke (C56);75 und älter;männlich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prostata (C61);0 - 44;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prostata (C61);0 - 44;männlich;1;146;132;172;170;150;144;176;163;150;117;108;89;87;77;83;73
Prostata (C61);45 - 54;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prostata (C61);45 - 54;männlich;1;2.506;2.499;2.984;3.180;3.089;3.005;3.253;3.223;3.118;2.915;2.831;2.732;2.671;2.817;2.791;2.812
Prostata (C61);55 - 64;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prostata (C61);55 - 64;männlich;1;15.933;15.084;16.074;16.668;14.888;14.557;14.651;14.385;14.053;12.590;12.327;12.055;12.568;13.444;13.768;14.805
Prostata (C61);65 - 74;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prostata (C61);65 - 74;männlich;1;26.090;26.717;30.416;33.259;31.809;31.148;31.112;30.069;27.625;24.394;22.992;22.491;22.365;23.165;23.482;24.418
Prostata (C61);75 und älter;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prostata (C61);75 und älter;männlich;1;15.504;16.342;17.612;19.576;18.850;18.741;19.457;20.980;19.351;18.548;18.965;19.643;20.732;21.545;22.112;23.632
Hoden (C62);0 - 44;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoden (C62);0 - 44;männlich;1;3.462;3.353;3.357;3.362;3.117;3.122;2.978;2.866;2.909;3.040;2.906;2.918;2.774;2.783;2.897;2.919
Hoden (C62);45 - 54;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoden (C62);45 - 54;männlich;1;607;600;622;687;648;813;762;766;789;884;948;804;802;801;738;690
Hoden (C62);55 - 64;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoden (C62);55 - 64;männlich;1;228;183;205;202;199;204;178;229;269;257;282;285;324;312;355;322
Hoden (C62);65 - 74;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoden (C62);65 - 74;männlich;1;101;97;110;107;95;111;107;98;94;95;96;100;90;87;105;100
Hoden (C62);75 und älter;weiblich;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hoden (C62);75 und älter;männlich;1;56;40;46;57;45;58;48;48;74;62;67;63;66;61;64;78
Niere (C64);0 - 44;weiblich;1;276;256;262;284;284;276;273;215;252;208;249;227;227;214;208;186
Niere (C64);0 - 44;männlich;1;508;531;539;513;497;519;453;462;453;433;454;433;407;384;374;363
Niere (C64);45 - 54;weiblich;1;405;466;486;492;508;532;546;512;494;504;512;498;487;459;458;375
Niere (C64);45 - 54;männlich;1;1.086;1.061;1.203;1.073;1.107;1.170;1.206;1.243;1.211;1.201;1.278;1.266;1.127;994;1.071;1.040
Niere (C64);55 - 64;weiblich;1;857;939;902;934;906;941;955;916;894;941;933;923;909;801;991;848
Niere (C64);55 - 64;männlich;1;2.088;2.057;2.098;1.967;1.840;1.920;2.048;2.038;2.090;2.040;2.104;2.102;2.090;2.074;2.102;1.980
Niere (C64);65 - 74;weiblich;1;1.425;1.474;1.529;1.752;1.691;1.803;1.662;1.496;1.565;1.374;1.512;1.336;1.262;1.182;1.224;1.125
Niere (C64);65 - 74;männlich;1;2.407;2.633;2.790;3.212;3.016;3.147;3.008;2.744;2.831;2.867;2.595;2.602;2.469;2.345;2.364;2.326
Niere (C64);75 und älter;weiblich;1;1.669;1.477;1.541;1.818;1.651;1.914;2.018;1.893;1.870;1.851;1.964;1.870;1.950;1.756;1.596;1.593
Niere (C64);75 und älter;männlich;1;1.267;1.510;1.609;1.847;1.863;2.064;2.148;1.992;2.237;2.161;2.266;2.584;2.290;2.208;2.360;2.496
Harnblase (C67);0 - 44;weiblich;1;80;95;72;83;72;74;68;66;67;57;57;61;60;63;45;56
Harnblase (C67);0 - 44;männlich;1;185;171;188;169;170;133;127;119;97;116;125;107;95;115;107;119
Harnblase (C67);45 - 54;weiblich;1;185;243;197;216;205;206;199;191;207;205;222;213;232;215;193;207
Harnblase (C67);45 - 54;männlich;1;719;608;660;701;740;616;695;597;585;636;642;570;531;574;654;577
Harnblase (C67);55 - 64;weiblich;1;508;543;475;519;482;448;440;469;471;478;449;482;520;523;555;580
Harnblase (C67);55 - 64;männlich;1;2.077;1.867;1.932;1.734;1.890;1.677;1.723;1.597;1.607;1.676;1.652;1.822;1.783;1.785;1.968;1.979
Harnblase (C67);65 - 74;weiblich;1;1.004;1.021;1.036;1.102;1.104;1.004;1.009;965;915;981;889;854;850;790;935;836
Harnblase (C67);65 - 74;männlich;1;4.048;3.711;3.856;3.690;3.749;3.707;3.623;3.330;3.349;3.356;3.131;3.161;3.151;2.881;2.993;3.053
Harnblase (C67);75 und älter;weiblich;1;1.949;1.818;1.749;1.938;1.831;1.657;1.961;1.753;1.788;1.826;1.754;1.780;1.829;1.770;1.793;1.892
Harnblase (C67);75 und älter;männlich;1;3.878;3.761;3.703;4.256;4.228;4.294;4.317;4.592;4.650;4.678;4.748;4.850;4.979;4.799;5.301;5.253
Zentrales Nervensystem (C70-C72);0 - 44;weiblich;1;508;450;505;600;527;480;506;458;495;505;520;554;486;460;484;367
Zentrales Nervensystem (C70-C72);0 - 44;männlich;1;718;835;748;642;725;712;766;680;758;622;676;654;635;616;654;594
Zentrales Nervensystem (C70-C72);45 - 54;weiblich;1;278;250;276;319;296;332;317;332;365;381;372;370;349;309;286;292
Zentrales Nervensystem (C70-C72);45 - 54;männlich;1;416;482;438;416;496;479;543;511;549;579;551;504;549;483;504;461
Zentrales Nervensystem (C70-C72);55 - 64;weiblich;1;411;380;395;375;370;432;418;424;418;514;501;465;499;471;388;473
Zentrales Nervensystem (C70-C72);55 - 64;männlich;1;553;548;562;522;593;568;596;603;598;666;629;624;643;710;744;723
Zentrales Nervensystem (C70-C72);65 - 74;weiblich;1;370;451;434;602;471;428;440;408;425;451;451;422;438;438;378;431
Zentrales Nervensystem (C70-C72);65 - 74;männlich;1;530;560;547;583;652;640;623;620;673;592;577;583;587;542;552;464
Zentrales Nervensystem (C70-C72);75 und älter;weiblich;1;320;278;284;335;239;347;321;327;369;322;331;420;321;372;331;340
Zentrales Nervensystem (C70-C72);75 und älter;männlich;1;163;211;220;235;245;265;278;272;312;329;371;312;376;339;404;333
Schilddrüse (C73);0 - 44;weiblich;1;1.277;1.470;1.353;1.597;1.706;1.706;1.652;1.603;1.523;1.487;1.563;1.656;1.575;1.572;1.454;1.456
Schilddrüse (C73);0 - 44;männlich;1;455;423;465;538;480;529;487;547;490;569;479;519;510;522;464;482
Schilddrüse (C73);45 - 54;weiblich;1;739;747;833;984;1.162;1.095;1.084;1.098;1.036;970;1.063;1.092;1.070;1.082;935;893
Schilddrüse (C73);45 - 54;männlich;1;330;324;365;397;411;454;429;447;447;489;467;481;446;448;445;362
Schilddrüse (C73);55 - 64;weiblich;1;717;636;672;709;862;885;883;864;820;810;837;797;829;821;773;693
Schilddrüse (C73);55 - 64;männlich;1;298;325;273;387;414;427;369;408;388;411;371;392;397;403;379;357
Schilddrüse (C73);65 - 74;weiblich;1;490;489;533;606;690;681;594;652;609;531;533;559;533;552;461;410
Schilddrüse (C73);65 - 74;männlich;1;259;279;218;354;328;371;346;304;301;367;313;295;322;260;227;247
Schilddrüse (C73);75 und älter;weiblich;1;296;359;321;332;400;444;434;416;429;424;375;341;395;399;372;299
Schilddrüse (C73);75 und älter;männlich;1;94;121;129;157;152;186;181;188;188;238;190;211;213;184;176;193
Morbus Hodgkin (C81);0 - 44;weiblich;1;502;531;520;530;481;547;498;473;541;540;549;535;495;530;503;550
Morbus Hodgkin (C81);0 - 44;männlich;1;684;614;660;734;637;676;652;641;647;661;643;634;656;635;614;607
Morbus Hodgkin (C81);45 - 54;weiblich;1;66;76;81;77;90;86;95;101;100;99;115;104;97;103;110;107
Morbus Hodgkin (C81);45 - 54;männlich;1;152;153;152;164;166;168;192;191;184;200;186;191;197;193;182;194
Morbus Hodgkin (C81);55 - 64;weiblich;1;65;71;83;65;71;70;83;90;77;78;95;88;92;105;110;110
Morbus Hodgkin (C81);55 - 64;männlich;1;131;128;122;122;133;112;135;142;131;154;152;164;159;182;170;183
Morbus Hodgkin (C81);65 - 74;weiblich;1;78;86;106;81;105;99;111;119;103;109;116;90;107;105;108;113
Morbus Hodgkin (C81);65 - 74;männlich;1;125;155;143;153;124;136;173;123;161;151;126;146;131;163;141;136
Morbus Hodgkin (C81);75 und älter;weiblich;1;90;100;112;95;117;111;109;135;126;135;128;130;141;127;157;160
Morbus Hodgkin (C81);75 und älter;männlich;1;83;96;92;87;100;93;114;121;147;148;136;150;166;143;184;169
Non-Hodgkin-Lymphome (C82-C88);0 - 44;weiblich;1;551;603;575;564;633;515;560;521;510;522;454;520;483;469;493;444
Non-Hodgkin-Lymphome (C82-C88);0 - 44;männlich;1;800;872;865;881;821;929;897;825;813;819;880;786;851;767;741;718
Non-Hodgkin-Lymphome (C82-C88);45 - 54;weiblich;1;595;650;602;687;684;687;716;779;749;770;747;807;795;713;731;655
Non-Hodgkin-Lymphome (C82-C88);45 - 54;männlich;1;751;855;825;893;897;1.002;1.046;1.015;1.001;1.030;1.047;1.104;1.082;1.072;926;886
Non-Hodgkin-Lymphome (C82-C88);55 - 64;weiblich;1;1.119;1.201;1.088;1.203;1.070;1.085;1.202;1.230;1.221;1.311;1.291;1.272;1.334;1.317;1.273;1.296
Non-Hodgkin-Lymphome (C82-C88);55 - 64;männlich;1;1.561;1.605;1.320;1.447;1.509;1.508;1.497;1.627;1.506;1.546;1.571;1.697;1.707;1.725;1.656;1.671
Non-Hodgkin-Lymphome (C82-C88);65 - 74;weiblich;1;1.663;1.822;1.863;1.817;1.844;1.963;2.125;2.055;2.013;2.075;2.007;1.855;1.946;1.896;1.679;1.719
Non-Hodgkin-Lymphome (C82-C88);65 - 74;männlich;1;1.902;2.031;2.103;2.223;2.423;2.500;2.386;2.468;2.435;2.512;2.373;2.511;2.354;2.310;2.154;2.219
Non-Hodgkin-Lymphome (C82-C88);75 und älter;weiblich;1;1.864;2.107;2.096;2.138;2.149;2.226;2.560;2.425;2.501;2.432;2.669;2.669;2.979;2.882;2.864;2.737
Non-Hodgkin-Lymphome (C82-C88);75 und älter;männlich;1;1.281;1.457;1.599;1.636;1.653;1.926;2.146;2.197;2.304;2.434;2.549;2.890;2.905;3.078;2.990;3.012
Multiples Myelom (C90);0 - 44;weiblich;1;62;71;58;66;59;64;76;59;66;59;59;58;51;48;46;56
Multiples Myelom (C90);0 - 44;männlich;1;107;91;94;98;101;88;97;102;92;93;86;80;90;78;65;73
Multiples Myelom (C90);45 - 54;weiblich;1;161;173;164;202;161;177;218;224;225;202;209;227;181;228;205;197
Multiples Myelom (C90);45 - 54;männlich;1;244;233;248;268;262;266;305;332;335;315;332;338;356;323;307;277
Multiples Myelom (C90);55 - 64;weiblich;1;371;399;383;404;377;409;426;474;439;427;480;486;459;475;463;412
Multiples Myelom (C90);55 - 64;männlich;1;614;556;547;585;581;551;612;665;662;618;665;677;754;713;663;676
Multiples Myelom (C90);65 - 74;weiblich;1;642;726;728;768;810;842;837;859;812;804;811;857;728;758;691;586
Multiples Myelom (C90);65 - 74;männlich;1;854;794;895;947;932;1.070;943;1.106;1.063;1.033;1.004;1.128;1.043;971;956;857
Multiples Myelom (C90);75 und älter;weiblich;1;849;776;894;909;993;1.082;973;986;1.087;979;1.138;1.226;1.187;1.208;1.100;1.097
Multiples Myelom (C90);75 und älter;männlich;1;587;622;757;742;903;890;944;993;1.023;1.071;1.084;1.243;1.381;1.235;1.337;1.281
Leukämien (C91-C95);0 - 44;weiblich;1;623;608;623;607;603;586;575;691;552;610;574;520;564;561;541;473
Leukämien (C91-C95);0 - 44;männlich;1;812;791;908;863;851;793;841;777;800;781;760;754;723;764;697;610
Leukämien (C91-C95);45 - 54;weiblich;1;350;375;392;389;431;421;479;504;418;471;487;476;458;423;384;337
Leukämien (C91-C95);45 - 54;männlich;1;516;563;597;612;628;645;633;642;678;716;728;676;658;627;529;517
Leukämien (C91-C95);55 - 64;weiblich;1;717;745;718;660;684;744;669;722;770;785;748;781;799;751;660;603
Leukämien (C91-C95);55 - 64;männlich;1;1.085;1.129;1.147;1.043;1.102;1.066;994;1.115;1.171;1.187;1.246;1.106;1.192;1.146;937;1.071
Leukämien (C91-C95);65 - 74;weiblich;1;1.057;1.179;1.131;1.208;1.220;1.277;1.187;1.298;1.290;1.211;1.265;1.159;1.068;1.037;840;799
Leukämien (C91-C95);65 - 74;männlich;1;1.558;1.662;1.815;1.836;2.009;1.900;1.911;2.026;1.964;1.941;2.020;1.789;1.627;1.635;1.288;1.394
Leukämien (C91-C95);75 und älter;weiblich;1;1.458;1.550;1.460;1.527;1.526;1.585;1.754;1.733;1.752;1.842;1.993;1.927;1.961;1.969;1.680;1.551
Leukämien (C91-C95);75 und älter;männlich;1;1.075;1.179;1.275;1.391;1.469;1.631;1.741;1.882;1.880;1.911;2.094;2.077;2.153;2.273;2.016;1.951
