Krebsart;Alter;Geschlecht;Prävalenzzeitraum;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Dünndarm (C17);0 - 44;männlich;1;48;44;52;60;57;45;63;60;67;56;57;63;52;60;70;59
Dünndarm (C17);45 - 54;weiblich;1;70;64;73;60;84;89;98;119;104;137;102;132;124;121;112;95
Dünndarm (C17);45 - 54;männlich;1;73;74;88;109;113;99;124;125;131;137;127;146;139;157;156;161
Dünndarm (C17);55 - 64;weiblich;1;123;108;113;117;113;142;159;183;171;225;166;203;176;219;199;177
Dünndarm (C17);55 - 64;männlich;1;151;127;148;173;170;159;197;201;231;250;235;246;239;264;289;314
Dünndarm (C17);65 - 74;weiblich;1;168;152;166;158;175;214;232;262;230;303;216;274;229;240;250;205
Dünndarm (C17);65 - 74;männlich;1;182;173;208;268;247;230;287;309;318;320;289;302;286;333;324;355
Dünndarm (C17);75 und älter;weiblich;1;202;180;201;192;216;254;281;345;317;352;290;390;328;391;379;313
Dünndarm (C17);75 und älter;männlich;1;128;123;146;188;197;197;246;269;325;304;297;365;383;389;421;458
Darm (C18-C20);0 - 44;weiblich;1;929;934;829;982;816;795;789;754;864;770;814;769;754;801;750;733
Darm (C18-C20);0 - 44;männlich;1;985;937;1.010;1.032;957;866;981;809;834;758;825;780;747;753;787;736
Darm (C18-C20);45 - 54;weiblich;1;1.848;1.787;1.738;2.058;2.027;1.944;1.977;1.860;2.057;1.952;1.937;1.896;1.889;2.086;1.947;1.799
Darm (C18-C20);45 - 54;männlich;1;2.396;2.422;2.434;2.755;2.800;2.725;2.754;2.652;2.593;2.566;2.752;2.753;2.574;2.567;2.509;2.475
Darm (C18-C20);55 - 64;weiblich;1;4.648;4.324;4.266;4.185;4.035;3.782;3.619;3.689;3.621;3.688;3.672;3.600;3.619;3.969;3.874;3.734
Darm (C18-C20);55 - 64;männlich;1;7.436;6.911;6.570;6.902;6.870;6.366;6.164;6.340;6.226;5.902;5.962;6.185;6.239;6.123;6.366;6.280
Darm (C18-C20);65 - 74;weiblich;1;7.631;7.702;7.606;7.778;7.490;7.379;6.788;6.757;6.269;6.426;6.239;5.990;5.510;5.767;5.324;4.954
Darm (C18-C20);65 - 74;männlich;1;11.033;10.783;11.064;11.632;12.070;11.624;10.582;10.287;10.204;9.825;8.982;8.622;8.314;8.188;8.293;7.794
Darm (C18-C20);75 und älter;weiblich;1;11.490;11.774;11.571;11.655;11.712;11.756;11.693;11.151;10.855;10.831;10.897;10.932;10.905;10.833;10.875;10.645
